"indiv_id","weight_kg","X","duration","n.notes","low.freq","high.freq","note.rate","bandwidth.mean","bandwidth.sd","firstnotehighfreq","lasttnotehighfreq","sex","name"
"nicole",1.125,8,1.83304153,5,3787.2,4769.1,2.72770688397878,310.1,115.567447838914,4264.1,4628.8,"F","nicole"
"nicole",1.125,2,0.911976545,3,3440,4906.3,3.2895582857342,430.666666666667,172.250002418965,4229.5,4906.3,"F","nicole"
"nicole",1.125,3,1.115529614,3,3609.2,4646.2,2.68930556602866,430.666666666667,86.1500048365253,4398.7,4646.2,"F","nicole"
"nicole",1.125,11,2.631183294,7,3163.7,4649.7,2.66039998656209,566,46.0223858573195,4218.3,4362.1,"F","nicole"
"nicole",1.125,10,1.556906773,4,3388.3,4847.9,2.56919686481446,452.225,43.05,4378.7,4847.9,"F","nicole"
"nicole",1.125,5,1.984660422,5,3559,5380.8,2.51932267332734,447.9,112.302849474089,4575.8,4872.4,"F","nicole"
"nicole",1.125,6,2.114337714,5,3097.5,5302.5,2.36480670372226,723.52,167.883402991481,4410,5092.5,"F","nicole"
"nicole",1.125,1,1.898007219,5,3392.3,5038.5,2.63434192976059,499.58,222.931933558205,4466.5,5038.5,"F","nicole"
"nicole",1.125,4,2.871579025,7,3307.5,4935,2.43768321855603,529.114285714286,195.343589849368,4252.5,4672.5,"F","nicole"
"nicole",1.125,9,2.55966472,6,3091.5,4817.9,2.34405699821499,545.516666666667,129.662876979753,4059.9,4817.9,"F","nicole"
"penny",1.046,80,1.404386096,4,3822,5488,2.84821959672833,301.45,49.7098581772268,4802,5488,"F","penny"
"penny",1.046,79,1.160892902,3,3993.5,5292,2.5842177127895,201,49.7098581772268,4508,5292,"F","penny"
"penny",1.046,77,0.629900953,2,4312,5341,3.17510235613185,258.4,0,4900,5341,"F","penny"
"penny",1.046,78,0.655120882,2,3984.5,5231.9,3.05287169887526,301.45,60.8818938601618,4642.9,5231.9,"F","penny"
"robin",1.2615,255,4.056912384,9,3133.7,5280.9,2.21843588131086,363.666666666667,112.118698262154,3883.1,5194.3,"M","robin"
"robin",1.2615,257,4.834066447,9,2950.9,5673,1.86178657216956,363.677777777778,159.862939559,3825.3,5673,"M","robin"
"robin",1.2615,254,4.378386165,9,3123.5,5223.2,2.05555189990877,440.222222222222,125.173047995343,3807.8,5223.2,"M","robin"
"robin",1.2615,256,4.82778391,10,2903.7,5295.4,2.07134374413208,396.22,123.174562669769,3435.9,5295.4,"M","robin"
"robin",1.2615,258,4.923123652,10,2934.6,5542.6,2.03123071993886,370.37,128.736207891262,3730.5,5542.6,"M","robin"
"rocket",1.214,287,4.923946737,11,2738.7,4459.2,2.23398029823165,415,100.586738688557,3792,4213.4,"M","rocket"
"rocket",1.214,289,6.30384037,14,2633.4,4669.8,2.2208684196107,541.414285714286,291.470050861921,4669.8,3897.4,"M","rocket"
"rocket",1.214,288,4.804115793,11,2692.4,4388.9,2.28970334479196,477.645454545455,129.854305771017,3814.3,4353.8,"M","rocket"
